rxn05404_c0,,,,,,,,,,,,,,,,
rxn03951_c0,,,,,,,,,,,,,,,,
rxn05443_c0,,,,,,,,,,,,,,,,
rxn05345_c0,,,,,,,,,,,,,,,,
rxn00336_c0,,,,,,,,,,,,,,,,
rxn01465_c0,,,,,,,,,,,,,,,,
rxn01643_c0,,,,,,,,,,,,,,,,
rxn06937_c0,,,,,,,,,,,,,,,,
rxn00392_c0,,,,,,,,,,,,,,,,
rxn00747_c0,,,,,,,,,,,,,,,,
rxn06777_c0,,,,,,,,,,,,,,,,
rxn05256_c0,,,,,,,,,,,,,,,,
rxn05448_c0,,,,,,,,,,,,,,,,
rxn05446_c0,,,,,,,,,,,,,,,,
rxn02835_c0,,,,,,,,,,,,,,,,
rxn10335_c0,,,,,,,,,,,,,,,,
rxn03240_c0,,,,,,,,,,,,,,,,
rxn05359_c0,,,,,,,,,,,,,,,,
rxn00213_c0,,,,,,,,,,,,,,,,
rxn05327_c0,,,,,,,,,,,,,,,,
rxn02314_c0,,,,,,,,,,,,,,,,
rxn00251_c0,,,,,,,,,,,,,,,,
rxn03910_c0,,,,,,,,,,,,,,,,
rxn10342_c0,,,,,,,,,,,,,,,,
rxn05371_c0,,,,,,,,,,,,,,,,
rxn01416_c0,,,,,,,,,,,,,,,,
rxn08900_c0,,,,,,,,,,,,,,,,
rxn02484_c0,,,,,,,,,,,,,,,,
rxn01462_c0,,,,,,,,,,,,,,,,
rxn01300_c0,,,,,,,,,,,,,,,,
rxn00786_c0,,,,,,,,,,,,,,,,
rxn10195_c0,,,,,,,,,,,,,,,,
rxn03908_c0,,,,,,,,,,,,,,,,
rxn05396_c0,,,,,,,,,,,,,,,,
rxn01211_c0,,,,,,,,,,,,,,,,
rxn00095_c0,,,,,,,,,,,,,,,,
rxn05322_c0,,,,,,,,,,,,,,,,
rxn01509_c0,,,,,,,,,,,,,,,,
rxn05202_c0,,,,,,,,,,,,,,,,
rxn00508_c0,,,,,,,,,,,,,,,,
rxn00772_c0,,,,,,,,,,,,,,,,
rxn05682_c0,,,,,,,,,,,,,,,,
rxn05338_c0,,,,,,,,,,,,,,,,
rxn05429_c0,,,,,,,,,,,,,,,,
rxn00915_c0,,,,,,,,,,,,,,,,
rxn01477_c0,,,,,,,,,,,,,,,,
rxn02402_c0,,,,,,,,,,,,,,,,
rxn05388_c0,,,,,,,,,,,,,,,,
rxn00611_c0,,,,,,,,,,,,,,,,
rxn05527_c0,,,,,,,,,,,,,,,,
rxn03244_c0,,,,,,,,,,,,,,,,
rxn00616_c0,,,,,,,,,,,,,,,,
rxn05409_c0,,,,,,,,,,,,,,,,
rxn00313_c0,,,,,,,,,,,,,,,,
rxn10160_c0,,,,,,,,,,,,,,,,
rxn10571_c0,,,,,,,,,,,,,,,,
rxn05363_c0,,,,,,,,,,,,,,,,
rxn00547_c0,,,,,,,,,,,,,,,,
rxn05325_c0,,,,,,,,,,,,,,,,
rxn02312_c0,,,,,,,,,,,,,,,,
rxn02895_c0,,,,,,,,,,,,,,,,
rxn02934_c0,,,,,,,,,,,,,,,,
rxn02508_c0,,,,,,,,,,,,,,,,
rxn05442_c0,,,,,,,,,,,,,,,,
rxn01996_c0,,,,,,,,,,,,,,,,
rxn10340_c0,,,,,,,,,,,,,,,,
rxn09657_c0,,,,,,,,,,,,,,,,
rxn05460_c0,,,,,,,,,,,,,,,,
rxn03108_c0,,,,,,,,,,,,,,,,
rxn03247_c0,,,,,,,,,,,,,,,,
rxn01476_c0,,,,,,,,,,,,,,,,
rxn00988_c0,,,,,,,,,,,,,,,,
rxn00410_c0,,,,,,,,,,,,,,,,
rxn12510_c0,,,,,,,,,,,,,,,,
rxn01977_c0,,,,,,,,,,,,,,,,
rxn01073_c0,,,,,,,,,,,,,,,,
rxn02405_c0,,,,,,,,,,,,,,,,
rxn01069_c0,,,,,,,,,,,,,,,,
rxn00065_c0,,,,,,,,,,,,,,,,
rxn01827_c0,,,,,,,,,,,,,,,,
rxn03446_c0,,,,,,,,,,,,,,,,
