,id
295,rxn05957_c0
296,rxn04135_c0
297,rxn03419_c0
298,rxn08551_c0
299,rxn10256_c0
300,rxn00679_c0
301,rxn00758_c0
302,rxn02975_c0
303,rxn04743_c0
304,rxn00638_c0
305,rxn09111_c0
306,rxn12432_c0
307,rxn01746_c0
308,rxn06078_c0
309,rxn05607_c0
310,rxn03848_c0
311,rxn05348_c0
312,rxn10181_c0
313,rxn05435_c0
314,rxn00798_c0
315,rxn03245_c0
316,rxn11946_c0
317,rxn01504_c0
318,rxn00907_c0
319,rxn05458_c0
320,rxn08300_c0
321,rxn02404_c0
322,rxn08297_c0
323,rxn02911_c0
324,rxn00012_c0
325,rxn10067_c0
326,rxn02444_c0
327,rxn05581_c0
328,rxn07721_c0
329,rxn05450_c0
330,rxn12847_c0
331,rxn05410_c0
332,rxn05443_c0
333,rxn09320_c0
334,rxn09114_c0
335,rxn05535_c0
336,rxn08822_c0
337,rxn02821_c0
338,rxn10208_c0
339,rxn04630_c0
340,rxn05345_c0
341,rxn04068_c0
342,rxn01522_c0
343,rxn00336_c0
344,rxn05422_c0
345,rxn01465_c0
346,rxn03052_c0
347,rxn10204_c0
348,rxn05145_c0
349,rxn01872_c0
350,rxn01301_c0
351,rxn01643_c0
352,rxn04457_c0
353,rxn07574_c0
354,rxn00295_c0
355,rxn08844_c0
356,rxn05385_c0
357,rxn00707_c0
358,rxn06937_c0
359,rxn01637_c0
360,rxn05564_c0
361,rxn03095_c0
362,rxn00566_c0
363,rxn00708_c0
364,rxn00289_c0
365,rxn03762_c0
366,rxn01269_c0
367,rxn00392_c0
368,rxn00747_c0
369,rxn01334_c0
370,rxn03807_c0
371,rxn01108_c0
372,rxn05219_c0
373,rxn10113_c0
374,rxn00879_c0
375,rxn03406_c0
376,rxn00029_c0
377,rxn06673_c0
378,rxn07734_c0
379,rxn12646_c0
380,rxn06777_c0
381,rxn03869_c0
382,rxn05256_c0
383,rxn05448_c0
384,rxn05446_c0
385,rxn02175_c0
386,rxn01634_c0
387,rxn00020_c0
388,rxn02835_c0
389,rxn03440_c0
390,rxn03884_c0
391,rxn04385_c0
392,rxn01675_c0
393,rxn00324_c0
394,rxn08839_c0
395,rxn03289_c0
396,rxn03536_c0
397,rxn00149_c0
398,rxn01575_c0
399,rxn05150_c0
400,rxn00656_c0
401,rxn10335_c0
402,rxn02009_c0
403,rxn01315_c0
404,rxn01868_c0
405,rxn03240_c0
406,rxn09562_c0
407,rxn05359_c0
408,rxn06098_c0
409,rxn00555_c0
410,rxn03282_c0
411,rxn01828_c0
412,rxn03080_c0
413,rxn10237_c0
414,rxn01044_c0
415,rxn07845_c0
416,rxn12644_c0
417,rxn00147_c0
418,rxn00737_c0
419,rxn05292_c0
420,rxn08843_c0
421,rxn04723_c0
422,rxn01256_c0
423,rxn00213_c0
424,rxn10162_c0
425,rxn00777_c0
426,rxn05164_c0
427,rxn13784_c0
428,rxn01740_c0
429,rxn05533_c0
430,rxn02642_c0
431,rxn00968_c0
432,rxn05327_c0
433,rxn04841_c0
434,rxn01013_c0
435,rxn05655_c0
436,rxn02314_c0
437,rxn08801_c0
438,rxn02275_c0
439,rxn05244_c0
440,rxn00503_c0
441,rxn00927_c0
442,rxn00251_c0
443,rxn01545_c0
