ids,growth,status
frozenset({'PSPTO_0699'}),0.0,optimal
frozenset({'PSPTO_0480'}),16.14743589743821,optimal
frozenset({'PSPTO_0766'}),16.14743589743821,optimal
frozenset({'PSPTO_0459'}),16.14743589743821,optimal
frozenset({'PSPTO_1354'}),16.14743589743821,optimal
frozenset({'PSPTO_2213'}),16.14743589743821,optimal
frozenset({'PSPTO_1080'}),1.533128257630318e-15,optimal
frozenset({'PSPTO_0961'}),-1.4866489194324177e-13,optimal
frozenset({'PSPTO_4690'}),16.14743589743868,optimal
frozenset({'PSPTO_1053'}),16.14743589743868,optimal
frozenset({'PSPTO_0873'}),16.14743589743868,optimal
frozenset({'PSPTO_4339'}),16.14743589743868,optimal
frozenset({'PSPTO_5541'}),16.14743589743868,optimal
frozenset({'PSPTO_4312'}),16.14743589743868,optimal
frozenset({'PSPTO_0364'}),16.14743589743868,optimal
frozenset({'PSPTO_0541'}),16.14743589743868,optimal
frozenset({'PSPTO_0981'}),-3.4214946431919735e-14,optimal
frozenset({'PSPTO_2402'}),16.14743589743868,optimal
frozenset({'PSPTO_2300'}),6.4290872795823585e-16,optimal
frozenset({'PSPTO_2100'}),0.0,optimal
frozenset({'PSPTO_3164'}),16.14743589743588,optimal
frozenset({'PSPTO_3832'}),1.1986449795880136e-15,optimal
frozenset({'PSPTO_1749'}),-1.3043405065447223e-15,optimal
frozenset({'PSPTO_2338'}),16.14743589743588,optimal
frozenset({'SPONTANEOUS'}),16.14743589743588,optimal
frozenset({'PSPTO_5023'}),16.14743589743588,optimal
frozenset({'PSPTO_0956'}),16.14743589743588,optimal
frozenset({'PSPTO_1077'}),-1.0629625788041066e-16,optimal
frozenset({'PSPTO_0566'}),16.14743589743588,optimal
frozenset({'223283.9.peg.3813'}),-2.3472031481294232e-15,optimal
frozenset({'PSPTO_3829'}),2.581742993231516e-15,optimal
frozenset({'PSPTO_0500'}),16.14743589743588,optimal
frozenset({'PSPTO_4682'}),16.14743589743588,optimal
frozenset({'PSPTO_5728'}),16.14743589743588,optimal
frozenset({'PSPTO_3461'}),16.14743589743588,optimal
frozenset({'PSPTO_0457'}),16.14743589743588,optimal
frozenset({'PAPTO_2706'}),16.14743589743588,optimal
frozenset({'PSPTO_3815'}),16.14743589743588,optimal
frozenset({'PSPTO_5597'}),-1.0629625788041066e-16,optimal
frozenset({'PSPTO_0103'}),16.14743589743588,optimal
frozenset({'PSPTO_2368'}),16.14743589743588,optimal
frozenset({'PSPTO_2912'}),16.14743589743588,optimal
frozenset({'PSPTO_3027'}),16.14743589743588,optimal
frozenset({'PSPTO_0982'}),-4.588110038378434e-15,optimal
frozenset({'PSPTO_1542'}),-2.3472031481294232e-15,optimal
frozenset({'PSPTO_0691'}),-2.3472031481294232e-15,optimal
frozenset({'PSPTO_3793'}),7.565387781631642e-14,optimal
frozenset({'PSPTO_1748'}),16.14743589743587,optimal
frozenset({'PSPTO_0598'}),-4.991391794831786e-15,optimal
frozenset({'PSPTO_5068'}),3.886088668782963e-15,optimal
frozenset({'PSPTO_2244'}),16.147435897435862,optimal
frozenset({'PSPTO_4859'}),7.382327819209417e-13,optimal
frozenset({'PSPTO_5121'}),16.14743589743592,optimal
frozenset({'PSPTO_3705'}),16.14743589743592,optimal
frozenset({'PSPTO_5315'}),16.14743589743592,optimal
frozenset({'PSPTO_0128'}),16.14743589743592,optimal
frozenset({'PSTPO_0757'}),16.1474358974359,optimal
frozenset({'PSPTO_1361'}),16.1474358974359,optimal
frozenset({'PSPTO_4937'}),16.147435897435866,optimal
frozenset({'PSPTO_0787'}),16.147435897435866,optimal
frozenset({'PSPTO_0543'}),16.147435897435866,optimal
frozenset({'PSPTO_2706'}),16.147435897435866,optimal
frozenset({'PSPTO_0923'}),5.0347618818234565e-11,optimal
frozenset({'PSPTO_4116'}),16.14743589743583,optimal
frozenset({'PSPTO_2685'}),16.14743589743583,optimal
frozenset({'PSPTO_3369'}),16.14743589743583,optimal
frozenset({'PSPTO_0984'}),16.14743589743583,optimal
frozenset({'PSPTO_0187'}),16.14743589743583,optimal
frozenset({'PSPTO_1930'}),16.14743589743583,optimal
frozenset({'PSPTO_2215'}),16.14743589743583,optimal
frozenset({'PSPTO_3377'}),16.14743589743583,optimal
frozenset({'PSPTO_0890'}),16.14743589743583,optimal
frozenset({'PSPTO_1295'}),16.14743589743583,optimal
frozenset({'PSPTO_0809'}),-2.2726197895745494e-14,optimal
frozenset({'PSPTO_3043'}),16.147435897435848,optimal
frozenset({'PSPTO_5154'}),-7.794862061207228e-15,optimal
frozenset({'PSPTO_4915'}),16.147435897435905,optimal
frozenset({'PSPTO_1243'}),16.147435897435905,optimal
frozenset({'PSPTO_2055'}),1.5589724122414456e-14,optimal
frozenset({'PSPTO_4829'}),16.147435897435873,optimal
frozenset({'PSPTO_4438'}),-2.8288589385363043e-14,optimal
frozenset({'PSPTO_2915'}),16.147435897435834,optimal
frozenset({'PSPTO_5327'}),10.741332324160574,optimal
frozenset({'PSPTO_0774'}),3.949703555495224,optimal
frozenset({'PSPTO_1891'}),16.147435897435813,optimal
frozenset({'PSPTO_0678'}),16.147435897435813,optimal
frozenset({'PSPTO_2373'}),16.147435897435766,optimal
frozenset({'PSPTO_0359'}),16.147435897435876,optimal
frozenset({'PSPTO_0301'}),16.147435897435876,optimal
frozenset({'PSPTO_0082'}),-1.421982973716892e-13,optimal
frozenset({'PSPTO_2705'}),16.147435897435887,optimal
frozenset({'PSPTO_4449'}),2.1876661134106033e-15,optimal
frozenset({'PSPTO_2742'}),-2.1876661134106033e-15,optimal
frozenset({'PSPTO_4407'}),16.147435897435887,optimal
frozenset({'PSPTO_0960'}),-1.2660023798307161e-11,optimal
frozenset({'PSPTO_4097'}),16.147435897435898,optimal
frozenset({'PSPTO_1881'}),16.147435897435898,optimal
frozenset({'PSPTO_4155'}),16.147435897436374,optimal
frozenset({'PSPTO_0959'}),16.147435897436374,optimal
frozenset({'PSPTO_3356'}),16.147435897436374,optimal
frozenset({'PSPTO_0169'}),16.147435897436374,optimal
frozenset({'PSPTO_1754'}),16.147435897436374,optimal
frozenset({'PSPTO_2045'}),16.147435897436374,optimal
frozenset({'PSPTO_3367'}),16.14743589743589,optimal
frozenset({'PSPTO_5316'}),16.14743589743589,optimal
frozenset({'PSPTO_4109'}),16.14743589743589,optimal
frozenset({'PSPTO_4685'}),16.14743589743589,optimal
frozenset({'PSPTO_4807'}),16.14743589743589,optimal
frozenset({'PSPTO_5521'}),16.14743589743589,optimal
frozenset({'PSPTO_0125'}),16.1474358974371,optimal
frozenset({'PSPTO_0323'}),16.1474358974371,optimal
frozenset({'PSPTO_4112'}),16.1474358974371,optimal
frozenset({'PSPTO_3902'}),16.1474358974371,optimal
frozenset({'PSPTO_0594'}),5.198669170113874e-15,optimal
frozenset({'PSPTO_2019'}),16.14743589743785,optimal
frozenset({'PSPTO_5603'}),16.14743589743648,optimal
frozenset({'PSPTO_1112'}),16.14743589743648,optimal
frozenset({'PSPTO_0080'}),16.14743589743648,optimal
frozenset({'PSPTO_1682'}),16.14743589743648,optimal
frozenset({'PSPTO_0542'}),-1.0397338340227749e-14,optimal
frozenset({'PSPTO_1325'}),16.147435897436193,optimal
frozenset({'PSTPO_0324'}),16.147435897436193,optimal
frozenset({'PSPTO_0186'}),2.2908452123205766e-15,optimal
frozenset({'PSPTO_3644'}),16.147435897435887,optimal
frozenset({'PSPTO_4235'}),16.147435897435887,optimal
frozenset({'PSPTO_3106'}),16.147435897435887,optimal
