ids,growth,status
frozenset({'PSPTO_4807'}),118.52448094946413,optimal
frozenset({'PSPTO_5521'}),118.52448094946413,optimal
frozenset({'PSPTO_0125'}),114.65815876863535,optimal
frozenset({'PSPTO_0323'}),97.76393502477406,optimal
frozenset({'PSPTO_4112'}),118.52448094946348,optimal
frozenset({'PSPTO_3902'}),118.52448094946348,optimal
frozenset({'PSPTO_0594'}),1.854485080049073e-14,optimal
frozenset({'PSPTO_2019'}),118.52448094946381,optimal
frozenset({'PSPTO_5603'}),94.81958475957117,optimal
frozenset({'PSPTO_1112'}),118.52448094946391,optimal
frozenset({'PSPTO_0080'}),118.52448094946391,optimal
frozenset({'PSPTO_1682'}),118.52448094946325,optimal
frozenset({'PSPTO_0542'}),3.610763036093769e-15,optimal
frozenset({'PSPTO_1325'}),117.37216506377007,optimal
frozenset({'PSTPO_0324'}),118.52448094946436,optimal
frozenset({'PSPTO_0186'}),-1.9609669816987413e-13,optimal
frozenset({'PSPTO_3644'}),118.5244809494636,optimal
frozenset({'PSPTO_4235'}),118.5244809494636,optimal
frozenset({'PSPTO_3106'}),118.5244809494636,optimal
frozenset({'PSPTO_2341'}),118.52448094946467,optimal
frozenset({'PSPTO_0159'}),-3.6606067647031894e-15,optimal
frozenset({'PSPTO_2348'}),118.52448094946295,optimal
frozenset({'PSPTO_4410'}),118.52448094946295,optimal
frozenset({'PSPTO_5401'}),1.6655760779399512e-13,optimal
frozenset({'PSPTO_3811'}),95.20614237735832,optimal
frozenset({'PSPTO_4496'}),-2.371594264427286e-13,optimal
frozenset({'PSPTO_5251'}),118.52448094946425,optimal
frozenset({'PSPTO_5528'}),118.52448094946425,optimal
frozenset({'PSPTO_0696'}),118.52448094946425,optimal
frozenset({'PSPTO_2680'}),118.52448094946425,optimal
frozenset({'PSPTO_4168'}),118.52448094946449,optimal
frozenset({'PSPTO_4265'}),118.52448094946455,optimal
frozenset({'PSPTO_4399'}),97.76393502477343,optimal
frozenset({'PSPTO_5338'}),118.5244809494637,optimal
frozenset({'PSPTO_1547'}),6.830987506601259e-14,optimal
frozenset({'PSPTO_2198'}),118.52448094946361,optimal
frozenset({'PSPTO_4108'}),118.52448094946361,optimal
frozenset({'PSPTO_2281'}),118.52448094946361,optimal
frozenset({'PSPTO_0308'}),-4.798514534149358e-14,optimal
frozenset({'PSPTO_2200'}),118.52448094946382,optimal
frozenset({'PSPTO_4354'}),118.52448094946382,optimal
frozenset({'PSPTO_1832'}),118.52448094946382,optimal
frozenset({'PSPTO_3702'}),118.52448094946382,optimal
frozenset({'PSPTO_3757'}),116.05361779334625,optimal
frozenset({'PSPTO_2199'}),118.52448094946342,optimal
frozenset({'PSPTO_2618'}),118.52448094946342,optimal
frozenset({'PSPTO_0775'}),118.52448094946342,optimal
frozenset({'PSPTO_2737'}),3.373575740757037e-14,optimal
frozenset({'PSPTO_4922'}),1.461882820994716e-13,optimal
frozenset({'PSPTO_2282'}),1.1245252469190123e-14,optimal
frozenset({'PSPTO_4411'}),118.52448094946394,optimal
frozenset({'PSPTO_0722'}),118.52448094946394,optimal
frozenset({'PSPTO_3833'}),9.247423568609048e-14,optimal
frozenset({'PSPTO_5171'}),118.52448094946428,optimal
frozenset({'PSPTO_1327'}),117.37216506376996,optimal
frozenset({'PSPTO_1108'}),118.52448094946415,optimal
frozenset({'PSPTO_1760'}),118.46408609013243,optimal
