	PST_gapfilled_247	PST_gapfilled_482	PST_gapfilled_426	PST_gapfilled_118	PST_gapfilled_291	PST_gapfilled_83	PST_gapfilled_481	PST_gapfilled_119	PST_gapfilled_114	PST_gapfilled_203	PST_gapfilled_185	PST_gapfilled_0	PST_gapfilled_243	PST_gapfilled_425	PST_gapfilled_184	PST_gapfilled_244	PST_gapfilled_204	PST_gapfilled_84	PST_gapfilled_21	PST_gapfilled_290	PST_gapfilled_22	PST_gapfilled_246	PST_gapfilled_115
PSPTO_4155	61.24412638747495	20.574987248739514	20.557397713719688	54.83019803600811	20.580017202774016	62.47052857971474	62.463490275267915	20.557397713714106	55.037260234401565	54.83019803600819	21.34954358556394	59.748339564066775	54.4274707675929	54.42747076759293	62.463490275267915	20.580017202774037	20.580017202774002	20.558569847933594	56.44159783829876	62.46349027526806	61.31452093993836	62.46349027526797	21.350807795534273
PSPTO_0385	61.20028429504284	20.572417675328737	20.54780688896414	54.45427513926575	20.577446372924204	61.80488582616236	61.7958722844798	20.54780688896121	54.44534817168291	54.45427513926569	21.346776917681858	2.5497100744180074e-11	54.05313314197397	54.05313314197399	61.7958722844798	20.57744637292423	20.577446372924207	20.54897792970971	56.43617655437924	61.79587228447998	61.306914390990976	61.79587228447983	21.3480408000081
PSPTO_4917	61.24412638747495	20.574987248739514	20.557397713719688	54.83019803600825	20.580017202774016	62.47052857959906	62.463490275267944	20.557397713714106	55.037260234401664	54.8301980360082	21.34954358556394	59.77121974599763	54.42747076759296	54.42747076759293	62.463490275267944	20.580017202774037	20.580017202774002	20.558569847933594	56.44159783829876	62.46349027526809	61.31452093994157	62.46349027526797	21.350807795534273
PSPTO_5079	61.24412638747495	20.574987248739514	20.557397713719688	54.83019803600825	20.580017202774016	62.47052857959906	62.463490275267944	20.557397713714106	55.037260234401664	54.8301980360082	21.34954358556394	59.77121974599763	54.37449482430567	54.37449482430564	62.463490275267944	20.580017202774037	20.580017202774002	20.558569847933594	56.44159783829876	62.46349027526809	61.31452093994157	62.46349027526797	21.350807795534273
PSPTO_5278	61.24412638747495	20.574987248739514	20.557397713719688	54.83019803600825	20.580017202774016	62.47052857959906	62.463490275267944	20.557397713714106	55.037260234401664	54.8301980360082	21.34954358556394	59.77121974599763	54.42747076759296	54.42747076759293	62.463490275267944	20.580017202774037	20.580017202774002	20.558569847933594	56.44159783829876	62.46349027526809	61.31452093994157	62.46349027526797	21.350807795534273
PSPTO_0873	61.24412638747495	20.574987248739514	20.557397713719688	54.83019803600825	20.580017202774016	62.47052857959906	62.463490275267944	20.557397713714106	55.037260234401664	54.8301980360082	21.34954358556394	59.77121974599763	54.42747076759296	54.42747076759293	62.463490275267944	20.580017202774037	20.580017202774002	20.558569847933594	56.44159783829876	62.46349027526809	61.31452093994157	62.46349027526797	21.350807795534273
223283.9.peg.4293	61.24412638747495	20.574987248739514	20.557397713719688	54.83019803600825	20.580017202774016	62.47052857959906	62.463490275267944	20.557397713714106	55.037260234401664	54.8301980360082	21.34954358556394	59.77121974599763	54.42747076759296	54.42747076759293	62.463490275267944	20.580017202774037	20.580017202774002	20.558569847933594	56.44159783829876	62.46349027526809	61.31452093994157	62.46349027526797	21.350807795534273
PSPTO_4433	61.24412638747495	20.574987248739514	20.557397713719688	54.83019803600825	20.580017202774016	62.47052857959906	62.463490275267944	20.557397713714106	55.037260234401664	54.8301980360082	21.34954358556394	59.77121974599763	54.42747076759296	54.42747076759293	62.463490275267944	20.580017202774037	20.580017202774002	20.558569847933594	56.44159783829876	62.46349027526809	61.31452093994157	62.46349027526797	21.350807795534273
PSPTO_1131	61.24412638747495	20.574987248739514	20.557397713719688	54.83019803600825	20.580017202774016	62.47052857959906	62.463490275267944	20.557397713714106	55.037260234401664	54.8301980360082	21.34954358556394	59.77121974599763	54.42747076759296	54.42747076759293	62.463490275267944	20.580017202774037	20.580017202774002	20.558569847933594	56.44159783829876	62.46349027526809	61.31452093994157	62.46349027526797	21.350807795534273
PSPTO_5279	61.24412638747495	20.574987248739514	20.557397713719688	54.83019803600825	20.580017202774016	62.47052857959906	62.463490275267944	20.557397713714106	55.037260234401664	54.8301980360082	21.34954358556394	59.77121974599763	54.42747076759296	54.42747076759293	62.463490275267944	20.580017202774037	20.580017202774002	20.558569847933594	56.44159783829876	62.46349027526809	61.31452093994157	62.46349027526797	21.350807795534273
