	PST_gapfilled_0	PST_gapfilled_10	PST_gapfilled_31	PST_gapfilled_32	PST_gapfilled_9	PST_gapfilled_6	PST_gapfilled_7
PSPTO_1993	20.753492840522497	20.751092509780243	51.83160867019939	20.780969511785823	51.85072317156294	53.60946578134396	20.751092509672233
PSPTO_3106	20.753492840522497	20.751092509780243	51.83160867019939	20.780969511785823	51.85072317156294	53.60946578134396	20.751092509672233
PSPTO_1182	20.753492840522497	20.751092509780243	51.83160867019939	20.780969511785823	51.85072317156294	53.60946578134396	20.751092509672233
PSPTO_1838	20.753492840522497	20.751092509780243	51.83160867019939	20.780969511785823	51.85072317156294	53.60946578134396	20.751092509672233
PSPTO_5338	20.753492840522497	20.751092509780243	51.83160867019939	20.780969511785823	51.85072317156294	53.60946578134396	20.751092509672233
PSPTO_4111	20.753492840522497	20.751092509780243	51.83160867019939	20.780969511785823	51.85072317156294	53.60946578134396	20.751092509672233
PSPTO_5528	20.753492840522497	20.751092509780243	51.83160867019939	20.780969511785823	51.85072317156294	53.60946578134396	20.751092509672233
PSPTO_2572	20.700084663314815	20.697696670249403	51.77641135867553	20.72890376297834	51.79548516281006	53.576177789591625	20.697696670144015
PSPTO_4354	20.753492840522497	20.751092509780243	51.83160867019939	20.780969511785873	51.85072317156294	53.60946578134396	20.751092509672297
PSPTO_4965	20.753492840522497	20.751092509780243	51.83160867019939	20.780969511785873	51.85072317156294	53.60946578134396	20.751092509672297
PSPTO_0744	20.753492840522497	20.751092509780243	51.83160867019939	20.780969511785873	51.85072317156294	53.60946578134396	20.751092509672297
PSPTO_2039	20.753492840522497	20.751092509780243	51.83160867019939	20.780969511785873	51.85072317156294	53.60946578134396	20.751092509672297
PSPTO_4891	20.753492840522497	20.751092509780243	51.83160867019939	20.780969511785873	51.85072317156294	53.60946578134396	20.751092509672297
PSPTO_1694	20.753492840522497	20.751092509780243	51.83160867019939	20.780969511785873	51.85072317156294	53.60946578134396	20.751092509672297
PSPTO_5047	20.75349284052355	17.57507231125989	49.893787429822005	20.780969511785873	49.91149914232574	50.58668893845544	20.751092509672297
PSPTO_3377	20.753492840522497	20.751092509671395	51.83160867019939	20.780969511783386	51.850723171562954	53.609465781343935	20.75109250967215
PSPTO_1744	20.753492840522497	20.751092509671395	51.83160867019939	20.780969511783386	51.850723171562954	53.609465781343935	20.75109250967215
PSPTO_5541	20.753492840522497	20.751092509671395	51.83160867019939	20.780969511783386	51.850723171562954	53.609465781343935	20.75109250967215
PSPTO_4413	20.753492840522497	20.751092509671395	51.83160867019939	20.780969511783386	51.850723171562954	53.609465781343935	20.75109250967215
PSPTO_1329	2.587564390428835e-14	8.292302331389058e-16	51.45123620527531	-1.2020287432429854e-18	51.47007113697026	1.679870011998825e-14	4.44017524863237e-15
PSPTO_2163	20.753492840523464	20.751092509670585	51.8316086701994	20.780969511783386	51.850723171562976	53.609465781343935	20.751092509672283
PSPTO_3370	20.753492840523464	20.751092509670585	51.8316086701994	20.780969511783386	51.850723171562976	53.609465781343935	20.751092509672283
PSPTO_3356	20.753492840523464	20.751092509670585	51.8316086701994	20.780969511783386	51.850723171562976	53.609465781343935	20.751092509672283
PSPTO_5187	20.753492840523464	20.751092509670585	51.8316086701994	20.780969511783386	51.850723171562976	53.609465781343935	20.751092509672283
PSPTO_4110	20.753492840523464	20.751092509670585	51.8316086701994	20.780969511783386	51.850723171562976	53.609465781343935	20.751092509672283
PSPTO_4307	20.753492840523464	20.751092509670585	51.8316086701994	20.780969511783386	51.850723171562976	53.609465781343935	20.751092509672283
PSPTO_1669	20.753492840523464	20.751092509670585	51.8316086701994	20.780969511783386	51.850723171562976	53.609465781343935	20.751092509672283
PSPTO_0962	20.753492840523464	20.751092509670585	51.8316086701994	20.780969511783386	51.850723171562976	53.609465781343935	20.751092509672283
PSPTO_2925	17.466838096808928	17.465137797995673	48.49645419961107	17.738878714290312	49.123581477610315	50.311244943504974	17.465137797996036
PSPTO_0187	20.753492840519467	20.75109250967058	51.83160867019941	20.780969511783386	51.85072317156302	53.609465781343935	20.751092509672283
PSPTO_0592	20.753492840519467	20.75109250967058	51.83160867019941	20.780969511783386	51.85072317156302	53.609465781343935	20.751092509672283
PSPTO_0233	20.753492840519467	20.75109250967058	51.83160867019941	20.780969511783386	51.85072317156302	53.609465781343935	20.751092509672283
PSPTO_3733	20.753492840519467	20.75109250967058	51.83160867019941	20.751092509672276	51.85072317156302	53.609465781343935	20.751092509672283
PSPTO_5261	20.753492840519467	20.75109250967058	51.83160867019941	20.78096951178339	51.85072317156302	53.609465781343935	20.751092509672283
PSPTO_1444	20.753492840519467	20.75109250967058	51.83160867019941	20.78096951178339	51.85072317156302	53.609465781343935	20.751092509672283
PSPTO_0366	20.753492840519467	20.75109250967058	51.83160867019941	20.78096951178339	51.85072317156302	53.609465781343935	20.751092509672283
PSPTO_0541	20.753492840519467	20.75109250967058	51.83160867019941	20.78096951178339	51.85072317156302	53.609465781343935	20.751092509672283
PSPTO_0981	20.753492840519467	20.75109250967058	51.83160867019941	20.78096951178339	51.85072317156302	53.609465781343935	20.751092509672283
PSPTO_3752	20.753492840519467	20.75109250967058	51.83160867019941	20.78096951178339	51.85072317156302	53.609465781343935	20.751092509672283
PSPTO_1661	20.753492840519467	20.75109250967058	51.83160867019941	20.78096951178339	51.85072317156302	53.609465781343935	20.751092509672283
PSPTO_2732	20.71713135950582	20.714739431878403	51.76508999847406	20.744511769741457	51.784155460680225	53.53719278351988	20.71473943187992
PSPTO_3369	20.753492840519467	20.75109250967058	51.83160867019941	20.780969511783393	51.85072317156302	53.609465781343935	20.751092509672283
PSPTO_2206	20.70078789802821	20.69839974261312	51.690743394544995	20.728125096739443	51.709754121223696	53.45878528255137	20.698399742614026
PSPTO_4572	20.753492840519467	20.75109250967058	51.83160867019941	20.780969511783393	51.85072317156302	53.609465781343935	20.751092509672283
PSPTO_3860	20.753492840519467	20.75109250967058	51.83160867019941	20.780969511783393	51.85072317156302	53.609465781343935	20.751092509672283
PSPTO_5315	20.753492840519467	20.75109250967058	51.83160867019941	20.780969511783393	51.85072317156302	53.609465781343935	20.751092509672283
PSPTO_4312	20.753492840519467	20.75109250967058	51.83160867019941	20.780969511783393	51.85072317156302	53.609465781343935	20.751092509672283
PSPTO_4502	20.73150244831423	20.7291072012577	51.715111378534374	20.744247772386313	51.73414003676187	53.48484917170267	20.729107201257687
PSPTO_0323	20.753492840519467	15.612269058676974	49.923329893649964	20.780969511783383	49.94106259055065	50.63684141076795	20.751092509672283
PSPTO_1671	20.753492840519467	20.75109250967157	51.83160867019941	20.780969511783383	51.85072317156306	53.609465781343935	20.751092509672283
PSPTO_1731	20.753492840519467	20.75109250967157	51.83160867019941	20.780969511783383	51.85072317156306	53.609465781343935	20.751092509672283
PSPTO_3516	20.753492840519467	20.75109250967157	51.83160867019941	20.780969511783383	51.85072317156306	53.609465781343935	20.751092509672283
PSPTO_2244	20.753492840519467	20.75109250967157	51.83160867019941	20.780969511783383	51.85072317156306	53.609465781343935	20.751092509672283
PSPTO_1326	-5.66408068342282e-13	6.2671522790953014e-12	51.451236205275315	4.434003026615515e-15	51.470071136970276	-1.436072068475418e-14	4.028410402682231e-15
PSPTO_4690	20.753492840519467	20.75109250967157	51.83160867019942	20.780969511783383	51.85072317156308	53.609465781343935	20.751092509672283
PSPTO_4683	20.753492840519467	20.75109250967157	51.83160867019942	20.780969511783383	51.85072317156308	53.609465781343935	20.751092509672283
PSPTO_0128	20.753492840519467	20.75109250967157	51.83160867019942	20.780969511783383	51.85072317156308	53.609465781343935	20.751092509672283
PSPTO_5083	20.753492840519467	20.75109250967157	51.83160867019942	20.780969511783383	51.85072317156308	53.609465781343935	20.751092509672283
PSPTO_2913	20.753492840519467	20.75109250967157	51.83160867019942	20.780969511783383	51.85072317156308	53.609465781343935	20.751092509672283
PSPTO_2275	20.753492840519467	20.75109250967157	51.83160867019942	20.780969511783383	51.85072317156308	53.609465781343935	20.751092509672283
PSPTO_3043	20.753492840519467	20.75109250967157	51.83160867019942	20.780969511783383	51.85072317156308	53.609465781343935	20.751092509672283
PSPTO_2028	20.753492840519467	20.75109250967157	51.83160867019942	20.780969511783383	51.85072317156308	53.609465781343935	20.751092509672283
PSPTO_1354	20.753492840519467	20.75109250967157	51.83160867019942	20.780969511783383	51.85072317156308	53.609465781343935	20.751092509672283
