rxn,pat,kegg
rxn01145_c,fig|223283.9.peg.3106,
rxn01961_c,fig|223283.9.peg.3106,
rxn01507_c,fig|223283.9.peg.3106,
rxn01521_c,fig|223283.9.peg.3106,
429,fig|223283.9.peg.3106,PSPTO_3043
rxn01015_c,fig|223283.9.peg.3111,
430,fig|223283.9.peg.3111,PSPTO_3048
431,fig|223283.9.peg.3128,PSPTO_3064
36,fig|223283.9.peg.313,PSPTO_0301
rxn07449_c,fig|223283.9.peg.3172,
432,fig|223283.9.peg.3172,PSPTO_3106
rxn00086_c,fig|223283.9.peg.3178,
433,fig|223283.9.peg.3178,PSPTO_3112
rxn00213_c,fig|223283.9.peg.3179,
434,fig|223283.9.peg.3179,PSPTO_3113
rxn11040_c,fig|223283.9.peg.3188,
rxn01115_c,fig|223283.9.peg.3188,
435,fig|223283.9.peg.3188,PSPTO_3122
rxn05153_c,fig|223283.9.peg.320,
rxn05176_c,fig|223283.9.peg.320,
37,fig|223283.9.peg.320,PSPTO_0308
rxn01111_c,fig|223283.9.peg.3209,
436,fig|223283.9.peg.3209,PSPTO_3143
38,fig|223283.9.peg.321,PSPTO_0309
39,fig|223283.9.peg.322,PSPTO_0310
40,fig|223283.9.peg.323,PSPTO_0311
437,fig|223283.9.peg.3231,PSPTO_3164
438,fig|223283.9.peg.3236,PSPTO_3170
41,fig|223283.9.peg.330,PSPTO_0317
rxn04082_c,fig|223283.9.peg.3352,
439,fig|223283.9.peg.3352,PSPTO_3278
rxn00780_c,fig|223283.9.peg.3354,
rxn01102_c,fig|223283.9.peg.3354,
440,fig|223283.9.peg.3354,PSPTO_3280
rxn07845_c,fig|223283.9.peg.3360,
rxn01989_c,fig|223283.9.peg.3360,
441,fig|223283.9.peg.3360,PSPTO_3285
rxn01101_c,fig|223283.9.peg.3362,
442,fig|223283.9.peg.3362,PSPTO_3287
rxn00020_c,fig|223283.9.peg.3395,
rxn00222_c,fig|223283.9.peg.3395,
443,fig|223283.9.peg.3395,PSPTO_3318
rxn00192_c,fig|223283.9.peg.340,
42,fig|223283.9.peg.340,PSPTO_0324
rxn02122_c,fig|223283.9.peg.3401,
444,fig|223283.9.peg.3401,PSPTO_3323
rxn00646_c,fig|223283.9.peg.341,
43,fig|223283.9.peg.341,PSPTO_0325
rxn05005_c,fig|223283.9.peg.3423,
rxn05006_c,fig|223283.9.peg.3423,
445,fig|223283.9.peg.3423,PSPTO_3344
446,fig|223283.9.peg.3424,PSPTO_3345
rxn00199_c,fig|223283.9.peg.3435,
rxn01387_c,fig|223283.9.peg.3435,
447,fig|223283.9.peg.3435,PSPTO_3356
rxn00800_c,fig|223283.9.peg.3439,
rxn03136_c,fig|223283.9.peg.3439,
448,fig|223283.9.peg.3439,PSPTO_3360
rxn00336_c,fig|223283.9.peg.3444,
449,fig|223283.9.peg.3444,PSPTO_3364
450,fig|223283.9.peg.3445,PSPTO_3365
451,fig|223283.9.peg.3446,PSPTO_3366
452,fig|223283.9.peg.3447,PSPTO_3367
453,fig|223283.9.peg.3448,PSPTO_3368
rxn10122_c,fig|223283.9.peg.3449,
454,fig|223283.9.peg.3449,PSPTO_3369
455,fig|223283.9.peg.3450,PSPTO_3370
456,fig|223283.9.peg.3451,PSPTO_3371
457,fig|223283.9.peg.3452,PSPTO_3372
458,fig|223283.9.peg.3453,PSPTO_3373
459,fig|223283.9.peg.3454,PSPTO_3374
460,fig|223283.9.peg.3455,PSPTO_3375
461,fig|223283.9.peg.3456,PSPTO_3376
462,fig|223283.9.peg.3457,PSPTO_3377
rxn09310_c,fig|223283.9.peg.3519,
rxn06060_c,fig|223283.9.peg.3519,
463,fig|223283.9.peg.3519,PSPTO_3438
464,fig|223283.9.peg.3536,PSPTO_3455
rxn00290_c,fig|223283.9.peg.3537,
465,fig|223283.9.peg.3537,PSPTO_3456
44,fig|223283.9.peg.354,PSPTO_0338
466,fig|223283.9.peg.3541,PSPTO_3460
467,fig|223283.9.peg.3544,PSPTO_3463
rxn00747_c,fig|223283.9.peg.3577,
468,fig|223283.9.peg.3577,PSPTO_3493
469,fig|223283.9.peg.3599,PSPTO_3514
470,fig|223283.9.peg.3601,PSPTO_3516
rxn03239_c,fig|223283.9.peg.3602,
rxn01451_c,fig|223283.9.peg.3602,
rxn02933_c,fig|223283.9.peg.3602,
rxn03245_c,fig|223283.9.peg.3602,
rxn02911_c,fig|223283.9.peg.3602,
rxn03240_c,fig|223283.9.peg.3602,
rxn00472_c,fig|223283.9.peg.3602,
rxn02934_c,fig|223283.9.peg.3602,
rxn02167_c,fig|223283.9.peg.3602,
471,fig|223283.9.peg.3602,PSPTO_3517
45,fig|223283.9.peg.361,PSPTO_0346
472,fig|223283.9.peg.3618,PSPTO_3530
rxn01825_c,fig|223283.9.peg.3640,
473,fig|223283.9.peg.3640,PSPTO_3551
474,fig|223283.9.peg.3642,PSPTO_3553
rxn00330_c,fig|223283.9.peg.3649,
475,fig|223283.9.peg.3649,PSPTO_3559
rxn01275_c,fig|223283.9.peg.3653,
476,fig|223283.9.peg.3653,PSPTO_3564
rxn01256_c,fig|223283.9.peg.373,
46,fig|223283.9.peg.373,PSPTO_0357
477,fig|223283.9.peg.3735,PSPTO_3646
478,fig|223283.9.peg.3748,PSPTO_3658
rxn00187_c,fig|223283.9.peg.375,
47,fig|223283.9.peg.375,PSPTO_0359
479,fig|223283.9.peg.3750,PSPTO_3660
480,fig|223283.9.peg.3751,PSPTO_3661
rxn02475_c,fig|223283.9.peg.3753,
481,fig|223283.9.peg.3753,PSPTO_3663
rxn01746_c,fig|223283.9.peg.3759,
482,fig|223283.9.peg.3759,PSPTO_3668
483,fig|223283.9.peg.3786,PSPTO_3694
484,fig|223283.9.peg.3793,PSPTO_3701
485,fig|223283.9.peg.3794,PSPTO_3702
rxn05440_c,fig|223283.9.peg.3813,
rxn05444_c,fig|223283.9.peg.3813,
rxn05434_c,fig|223283.9.peg.3813,
rxn05437_c,fig|223283.9.peg.3813,
rxn05324_c,fig|223283.9.peg.3813,
rxn05435_c,fig|223283.9.peg.3813,
rxn05450_c,fig|223283.9.peg.3813,
rxn05443_c,fig|223283.9.peg.3813,
rxn05442_c,fig|223283.9.peg.3813,
rxn05436_c,fig|223283.9.peg.3813,
rxn05441_c,fig|223283.9.peg.3813,
rxn05438_c,fig|223283.9.peg.3813,
rxn05433_c,fig|223283.9.peg.3813,
rxn05439_c,fig|223283.9.peg.3813,
486,fig|223283.9.peg.3813,PSPTO_3721
487,fig|223283.9.peg.3825,PSPTO_3733
488,fig|223283.9.peg.3834,PSPTO_3742
rxn03130_c,fig|223283.9.peg.3837,
489,fig|223283.9.peg.3837,PSPTO_3745
490,fig|223283.9.peg.3846,PSPTO_3752
rxn00182_c,fig|223283.9.peg.3852,
491,fig|223283.9.peg.3852,PSPTO_3757
rxn01828_c,fig|223283.9.peg.3868,
492,fig|223283.9.peg.3868,PSPTO_3772
493,fig|223283.9.peg.3883,PSPTO_3788
rxn00077_c,fig|223283.9.peg.3888,
494,fig|223283.9.peg.3888,PSPTO_3793
rxn00737_c,fig|223283.9.peg.3903,
495,fig|223283.9.peg.3903,PSPTO_3806
rxn05957_c,fig|223283.9.peg.3907,
rxn00952_c,fig|223283.9.peg.3907,
496,fig|223283.9.peg.3907,PSPTO_3810
rxn01362_c,fig|223283.9.peg.3908,
497,fig|223283.9.peg.3908,PSPTO_3811
rxn01603_c,fig|223283.9.peg.3911,
498,fig|223283.9.peg.3911,PSPTO_3814
rxn06673_c,fig|223283.9.peg.3912,
499,fig|223283.9.peg.3912,PSPTO_3815
rxn00798_c,fig|223283.9.peg.3913,
rxn02508_c,fig|223283.9.peg.3913,
500,fig|223283.9.peg.3913,PSPTO_3816
501,fig|223283.9.peg.3923,PSPTO_3826
rxn01513_c,fig|223283.9.peg.3924,
502,fig|223283.9.peg.3924,PSPTO_3827
rxn03841_c,fig|223283.9.peg.3926,
503,fig|223283.9.peg.3926,PSPTO_3829
rxn05392_c,fig|223283.9.peg.3927,
rxn05367_c,fig|223283.9.peg.3927,
rxn05404_c,fig|223283.9.peg.3927,
rxn05400_c,fig|223283.9.peg.3927,
rxn05413_c,fig|223283.9.peg.3927,
rxn05417_c,fig|223283.9.peg.3927,
rxn05359_c,fig|223283.9.peg.3927,
rxn05371_c,fig|223283.9.peg.3927,
rxn05396_c,fig|223283.9.peg.3927,
rxn05388_c,fig|223283.9.peg.3927,
rxn05363_c,fig|223283.9.peg.3927,
rxn05349_c,fig|223283.9.peg.3927,
rxn05379_c,fig|223283.9.peg.3927,
rxn05375_c,fig|223283.9.peg.3927,
rxn05384_c,fig|223283.9.peg.3927,
504,fig|223283.9.peg.3927,PSPTO_3830
505,fig|223283.9.peg.3930,PSPTO_3833
506,fig|223283.9.peg.3932,PSPTO_3835
rxn02285_c,fig|223283.9.peg.3939,
507,fig|223283.9.peg.3939,PSPTO_3842
508,fig|223283.9.peg.3940,PSPTO_3843
rxn03181_c,fig|223283.9.peg.3942,
509,fig|223283.9.peg.3942,PSPTO_3845
510,fig|223283.9.peg.3957,PSPTO_3860
511,fig|223283.9.peg.3959,PSPTO_3862
512,fig|223283.9.peg.3969,PSPTO_3871
513,fig|223283.9.peg.3981,PSPTO_3883
2,fig|223283.9.peg.4,PSPTO_0004
rxn00126_c,fig|223283.9.peg.400,
48,fig|223283.9.peg.400,PSPTO_0383
rxn05733_c,fig|223283.9.peg.4001,
rxn00055_c,fig|223283.9.peg.4001,
514,fig|223283.9.peg.4001,PSPTO_3902
515,fig|223283.9.peg.4019,PSPTO_3920
rxn00785_c,fig|223283.9.peg.402,
rxn01200_c,fig|223283.9.peg.402,
49,fig|223283.9.peg.402,PSPTO_0385
rxn00159_c,fig|223283.9.peg.4023,
516,fig|223283.9.peg.4023,PSPTO_3924
50,fig|223283.9.peg.403,PSPTO_0386
rxn01100_c,fig|223283.9.peg.404,
51,fig|223283.9.peg.404,PSPTO_0387
517,fig|223283.9.peg.4049,PSPTO_3950
rxn02988_c,fig|223283.9.peg.4058,
518,fig|223283.9.peg.4058,PSPTO_3959
rxn00786_c,fig|223283.9.peg.407,
rxn01870_c,fig|223283.9.peg.407,
52,fig|223283.9.peg.407,PSPTO_0390
519,fig|223283.9.peg.4081,PSPTO_3981
rxn08296_c,fig|223283.9.peg.4129,
rxn10254_c,fig|223283.9.peg.4129,
rxn10256_c,fig|223283.9.peg.4129,
rxn08300_c,fig|223283.9.peg.4129,
rxn08297_c,fig|223283.9.peg.4129,
rxn10258_c,fig|223283.9.peg.4129,
rxn08299_c,fig|223283.9.peg.4129,
rxn10253_c,fig|223283.9.peg.4129,
rxn10257_c,fig|223283.9.peg.4129,
rxn08294_c,fig|223283.9.peg.4129,
rxn10255_c,fig|223283.9.peg.4129,
rxn08295_c,fig|223283.9.peg.4129,
rxn08298_c,fig|223283.9.peg.4129,
520,fig|223283.9.peg.4129,PSPTO_4026
rxn05561_c,fig|223283.9.peg.4166,
rxn05654_c,fig|223283.9.peg.4166,
rxn05605_c,fig|223283.9.peg.4166,
521,fig|223283.9.peg.4166,PSPTO_4063
522,fig|223283.9.peg.4202,PSPTO_4097
523,fig|223283.9.peg.4204,PSPTO_4098
rxn00208_c,fig|223283.9.peg.4222,
rxn00209_c,fig|223283.9.peg.4222,
524,fig|223283.9.peg.4222,PSPTO_4116
525,fig|223283.9.peg.4247,PSPTO_4137
526,fig|223283.9.peg.4248,PSPTO_4138
527,fig|223283.9.peg.4250,PSPTO_4140
rxn01672_c,fig|223283.9.peg.4254,
528,fig|223283.9.peg.4254,PSPTO_4144
529,fig|223283.9.peg.4257,PSPTO_4147
rxn01434_c,fig|223283.9.peg.4265,
530,fig|223283.9.peg.4265,PSPTO_4155
rxn01019_c,fig|223283.9.peg.4274,
531,fig|223283.9.peg.4274,PSPTO_4164
rxn05581_c,fig|223283.9.peg.4277,
532,fig|223283.9.peg.4277,PSPTO_4167
533,fig|223283.9.peg.4278,PSPTO_4168
rxn08556_c,fig|223283.9.peg.4280,
534,fig|223283.9.peg.4280,PSPTO_4170
rxn03052_c,fig|223283.9.peg.4289,
535,fig|223283.9.peg.4289,PSPTO_4179
53,fig|223283.9.peg.429,PSPTO_0410
536,fig|223283.9.peg.4293,PSPTO_4183
537,fig|223283.9.peg.4324,PSPTO_4217
rxn00262_c,fig|223283.9.peg.4332,
rxn00338_c,fig|223283.9.peg.4332,
538,fig|223283.9.peg.4332,PSPTO_4225
rxn00025_c,fig|223283.9.peg.4342,
539,fig|223283.9.peg.4342,PSPTO_4235
540,fig|223283.9.peg.4352,PSPTO_4244
541,fig|223283.9.peg.4364,PSPTO_4254
rxn02175_c,fig|223283.9.peg.437,
54,fig|223283.9.peg.437,PSPTO_0417
542,fig|223283.9.peg.4374,PSPTO_4265
55,fig|223283.9.peg.438,PSPTO_0418
rxn00763_c,fig|223283.9.peg.4396,
543,fig|223283.9.peg.4396,PSPTO_4285
544,fig|223283.9.peg.4402,PSPTO_4290
rxn11268_c,fig|223283.9.peg.4427,
rxn05312_c,fig|223283.9.peg.4427,
545,fig|223283.9.peg.4427,PSPTO_4312
rxn00148_c,fig|223283.9.peg.4450,
546,fig|223283.9.peg.4450,PSPTO_4337
547,fig|223283.9.peg.4452,PSPTO_4339
548,fig|223283.9.peg.4478,PSPTO_4363
549,fig|223283.9.peg.4509,PSPTO_4394
rxn01636_c,fig|223283.9.peg.4514,
rxn01303_c,fig|223283.9.peg.4514,
550,fig|223283.9.peg.4514,PSPTO_4399
rxn03146_c,fig|223283.9.peg.4517,
551,fig|223283.9.peg.4517,PSPTO_4402
rxn03408_c,fig|223283.9.peg.4523,
552,fig|223283.9.peg.4523,PSPTO_4408
rxn03904_c,fig|223283.9.peg.4526,
553,fig|223283.9.peg.4526,PSPTO_4411
56,fig|223283.9.peg.453,PSPTO_0433
554,fig|223283.9.peg.4540,PSPTO_4425
555,fig|223283.9.peg.4541,PSPTO_4426
556,fig|223283.9.peg.4544,PSPTO_4429
rxn00361_c,fig|223283.9.peg.4547,
557,fig|223283.9.peg.4547,PSPTO_4432
rxn02320_c,fig|223283.9.peg.4553,
558,fig|223283.9.peg.4553,PSPTO_4437
rxn00859_c,fig|223283.9.peg.4554,
559,fig|223283.9.peg.4554,PSPTO_4438
rxn00461_c,fig|223283.9.peg.4556,
560,fig|223283.9.peg.4556,PSPTO_4441
rxn00420_c,fig|223283.9.peg.456,
57,fig|223283.9.peg.456,PSPTO_0436
rxn02404_c,fig|223283.9.peg.4564,
561,fig|223283.9.peg.4564,PSPTO_4449
rxn00206_c,fig|223283.9.peg.4574,
562,fig|223283.9.peg.4574,PSPTO_4459
563,fig|223283.9.peg.4576,PSPTO_4461
564,fig|223283.9.peg.4588,PSPTO_4473
565,fig|223283.9.peg.4589,PSPTO_4474
566,fig|223283.9.peg.4590,PSPTO_4475
567,fig|223283.9.peg.4593,PSPTO_4478
568,fig|223283.9.peg.4603,PSPTO_4487
569,fig|223283.9.peg.4607,PSPTO_4491
rxn01867_c,fig|223283.9.peg.461,
58,fig|223283.9.peg.461,PSPTO_0441
570,fig|223283.9.peg.4610,PSPTO_4494
rxn01485_c,fig|223283.9.peg.4611,
571,fig|223283.9.peg.4611,PSPTO_4495
572,fig|223283.9.peg.4612,PSPTO_4496
573,fig|223283.9.peg.4617,PSPTO_4501
rxn00414_c,fig|223283.9.peg.4618,
574,fig|223283.9.peg.4618,PSPTO_4502
rxn05209_c,fig|223283.9.peg.4651,
575,fig|223283.9.peg.4651,PSPTO_4533
576,fig|223283.9.peg.4665,PSPTO_4547
rxn01634_c,fig|223283.9.peg.4667,
577,fig|223283.9.peg.4667,PSPTO_4549
578,fig|223283.9.peg.4729,PSPTO_4615
579,fig|223283.9.peg.4730,PSPTO_4616
580,fig|223283.9.peg.4747,PSPTO_4632
581,fig|223283.9.peg.4762,PSPTO_4647
582,fig|223283.9.peg.4763,PSPTO_4648
583,fig|223283.9.peg.4766,PSPTO_4651
59,fig|223283.9.peg.477,PSPTO_0458
60,fig|223283.9.peg.479,PSPTO_0460
rxn00692_c,fig|223283.9.peg.480,
61,fig|223283.9.peg.480,PSPTO_0461
584,fig|223283.9.peg.4802,PSPTO_4685
rxn00131_c,fig|223283.9.peg.4907,
585,fig|223283.9.peg.4907,PSPTO_4795
rxn02484_c,fig|223283.9.peg.4909,
586,fig|223283.9.peg.4909,PSPTO_4798
rxn02305_c,fig|223283.9.peg.4910,
587,fig|223283.9.peg.4910,PSPTO_4799
588,fig|223283.9.peg.4922,PSPTO_4812
rxn13783_c,fig|223283.9.peg.4924,
589,fig|223283.9.peg.4924,PSPTO_4814
590,fig|223283.9.peg.4940,PSPTO_4828
rxn02373_c,fig|223283.9.peg.4941,
591,fig|223283.9.peg.4941,PSPTO_4829
rxn00405_c,fig|223283.9.peg.4953,
592,fig|223283.9.peg.4953,PSPTO_4842
62,fig|223283.9.peg.497,PSPTO_0480
rxn02213_c,fig|223283.9.peg.4971,
593,fig|223283.9.peg.4971,PSPTO_4859
594,fig|223283.9.peg.4972,PSPTO_4860
595,fig|223283.9.peg.4973,PSPTO_4861
rxn00832_c,fig|223283.9.peg.4978,
rxn01639_c,fig|223283.9.peg.4978,
rxn03137_c,fig|223283.9.peg.4978,
rxn00912_c,fig|223283.9.peg.4978,
rxn00905_c,fig|223283.9.peg.4978,
596,fig|223283.9.peg.4978,PSPTO_4866
rxn02895_c,fig|223283.9.peg.4979,
597,fig|223283.9.peg.4979,PSPTO_4867
598,fig|223283.9.peg.5003,PSPTO_4890
rxn00101_c,fig|223283.9.peg.5004,
599,fig|223283.9.peg.5004,PSPTO_4891
600,fig|223283.9.peg.5007,PSPTO_4894
601,fig|223283.9.peg.5008,PSPTO_4895
602,fig|223283.9.peg.5022,PSPTO_4909
603,fig|223283.9.peg.5023,PSPTO_4910
604,fig|223283.9.peg.5024,PSPTO_4911
605,fig|223283.9.peg.5026,PSPTO_4913
rxn00012_c,fig|223283.9.peg.5034,
rxn01265_c,fig|223283.9.peg.5034,
606,fig|223283.9.peg.5034,PSPTO_4921
rxn00138_c,fig|223283.9.peg.5035,
607,fig|223283.9.peg.5035,PSPTO_4922
608,fig|223283.9.peg.5044,PSPTO_4930
609,fig|223283.9.peg.5046,PSPTO_4932
610,fig|223283.9.peg.5047,PSPTO_4933
rxn00838_c,fig|223283.9.peg.5051,
611,fig|223283.9.peg.5051,PSPTO_4937
rxn00789_c,fig|223283.9.peg.5052,
612,fig|223283.9.peg.5052,PSPTO_4938
rxn04068_c,fig|223283.9.peg.5059,
rxn03094_c,fig|223283.9.peg.5059,
613,fig|223283.9.peg.5059,PSPTO_4945
rxn09198_c,fig|223283.9.peg.5069,
rxn09202_c,fig|223283.9.peg.5069,
rxn10237_c,fig|223283.9.peg.5069,
rxn09197_c,fig|223283.9.peg.5069,
rxn10236_c,fig|223283.9.peg.5069,
rxn09201_c,fig|223283.9.peg.5069,
rxn10235_c,fig|223283.9.peg.5069,
rxn09200_c,fig|223283.9.peg.5069,
rxn10234_c,fig|223283.9.peg.5069,
rxn10233_c,fig|223283.9.peg.5069,
rxn09199_c,fig|223283.9.peg.5069,
rxn09203_c,fig|223283.9.peg.5069,
rxn10232_c,fig|223283.9.peg.5069,
rxn00921_c,fig|223283.9.peg.5069,
614,fig|223283.9.peg.5069,PSPTO_4955
63,fig|223283.9.peg.507,PSPTO_0490
615,fig|223283.9.peg.5071,PSPTO_4957
rxn00140_c,fig|223283.9.peg.5080,
616,fig|223283.9.peg.5080,PSPTO_4965
rxn08180_c,fig|223283.9.peg.511,
rxn02229_c,fig|223283.9.peg.511,
rxn02230_c,fig|223283.9.peg.511,
64,fig|223283.9.peg.511,PSPTO_0494
rxn08618_c,fig|223283.9.peg.5117,
617,fig|223283.9.peg.5117,PSPTO_5001
rxn08711_c,fig|223283.9.peg.5119,
618,fig|223283.9.peg.5119,PSPTO_5003
rxn02297_c,fig|223283.9.peg.512,
65,fig|223283.9.peg.512,PSPTO_0495
619,fig|223283.9.peg.5123,PSPTO_5005
rxn01871_c,fig|223283.9.peg.5124,
620,fig|223283.9.peg.5124,PSPTO_5006
rxn05221_c,fig|223283.9.peg.5136,
621,fig|223283.9.peg.5136,PSPTO_5016
rxn00503_c,fig|223283.9.peg.5137,
rxn00183_c,fig|223283.9.peg.5137,
622,fig|223283.9.peg.5137,PSPTO_5017
rxn00351_c,fig|223283.9.peg.5154,
623,fig|223283.9.peg.5154,PSPTO_5035
rxn00258_c,fig|223283.9.peg.5159,
rxn00678_c,fig|223283.9.peg.5159,
rxn01018_c,fig|223283.9.peg.5159,
624,fig|223283.9.peg.5159,PSPTO_5040
rxn00931_c,fig|223283.9.peg.5166,
rxn00929_c,fig|223283.9.peg.5166,
625,fig|223283.9.peg.5166,PSPTO_5047
626,fig|223283.9.peg.5169,PSPTO_5049
rxn00898_c,fig|223283.9.peg.5178,
627,fig|223283.9.peg.5178,PSPTO_5057
rxn00927_c,fig|223283.9.peg.5190,
628,fig|223283.9.peg.5190,PSPTO_5068
rxn00910_c,fig|223283.9.peg.5191,
rxn04954_c,fig|223283.9.peg.5191,
629,fig|223283.9.peg.5191,PSPTO_5069
rxn12432_c,fig|223283.9.peg.5200,
630,fig|223283.9.peg.5200,PSPTO_5079
631,fig|223283.9.peg.5201,PSPTO_5080
rxn05457_c,fig|223283.9.peg.5202,
rxn05459_c,fig|223283.9.peg.5202,
rxn05453_c,fig|223283.9.peg.5202,
rxn05358_c,fig|223283.9.peg.5202,
rxn05408_c,fig|223283.9.peg.5202,
rxn05458_c,fig|223283.9.peg.5202,
rxn05452_c,fig|223283.9.peg.5202,
rxn05465_c,fig|223283.9.peg.5202,
rxn05451_c,fig|223283.9.peg.5202,
rxn05455_c,fig|223283.9.peg.5202,
rxn05454_c,fig|223283.9.peg.5202,
rxn05456_c,fig|223283.9.peg.5202,
rxn05383_c,fig|223283.9.peg.5202,
632,fig|223283.9.peg.5202,PSPTO_5081
633,fig|223283.9.peg.5204,PSPTO_5083
634,fig|223283.9.peg.5205,PSPTO_5084
635,fig|223283.9.peg.5206,PSPTO_5085
rxn12206_c,fig|223283.9.peg.5208,
636,fig|223283.9.peg.5208,PSPTO_5087
rxn03384_c,fig|223283.9.peg.5239,
rxn02288_c,fig|223283.9.peg.5239,
637,fig|223283.9.peg.5239,PSPTO_5118
638,fig|223283.9.peg.5242,PSPTO_5121
639,fig|223283.9.peg.5243,PSPTO_5123
rxn02212_c,fig|223283.9.peg.5245,
640,fig|223283.9.peg.5245,PSPTO_5126
rxn01739_c,fig|223283.9.peg.5246,
641,fig|223283.9.peg.5246,PSPTO_5127
rxn10199_c,fig|223283.9.peg.5252,
642,fig|223283.9.peg.5252,PSPTO_5133
rxn00161_c,fig|223283.9.peg.5254,
643,fig|223283.9.peg.5254,PSPTO_5134
644,fig|223283.9.peg.5256,PSPTO_5136
645,fig|223283.9.peg.5257,PSPTO_5137
646,fig|223283.9.peg.5258,PSPTO_5138
rxn01547_c,fig|223283.9.peg.5274,
rxn02835_c,fig|223283.9.peg.5274,
rxn02834_c,fig|223283.9.peg.5274,
647,fig|223283.9.peg.5274,PSPTO_5153
648,fig|223283.9.peg.5275,PSPTO_5154
rxn05740_c,fig|223283.9.peg.5286,
649,fig|223283.9.peg.5286,PSPTO_5165
650,fig|223283.9.peg.5289,PSPTO_5168
rxn01640_c,fig|223283.9.peg.5292,
651,fig|223283.9.peg.5292,PSPTO_5171
652,fig|223283.9.peg.5295,PSPTO_5174
653,fig|223283.9.peg.5299,PSPTO_5178
654,fig|223283.9.peg.5308,PSPTO_5187
rxn05614_c,fig|223283.9.peg.5310,
rxn05219_c,fig|223283.9.peg.5310,
rxn05183_c,fig|223283.9.peg.5310,
rxn05613_c,fig|223283.9.peg.5310,
655,fig|223283.9.peg.5310,PSPTO_5189
656,fig|223283.9.peg.5337,PSPTO_5216
rxn05574_c,fig|223283.9.peg.5341,
rxn05673_c,fig|223283.9.peg.5341,
657,fig|223283.9.peg.5341,PSPTO_5219
rxn03393_c,fig|223283.9.peg.5363,
658,fig|223283.9.peg.5363,PSPTO_5241
rxn05155_c,fig|223283.9.peg.5370,
659,fig|223283.9.peg.5370,PSPTO_5248
rxn00029_c,fig|223283.9.peg.5374,
660,fig|223283.9.peg.5374,PSPTO_5251
661,fig|223283.9.peg.5383,PSPTO_5260
662,fig|223283.9.peg.5384,PSPTO_5261
663,fig|223283.9.peg.5389,PSPTO_5266
rxn02085_c,fig|223283.9.peg.5394,
664,fig|223283.9.peg.5394,PSPTO_5270
rxn00867_c,fig|223283.9.peg.5398,
rxn00495_c,fig|223283.9.peg.5398,
665,fig|223283.9.peg.5398,PSPTO_5274
666,fig|223283.9.peg.5399,PSPTO_5275
rxn01642_c,fig|223283.9.peg.5401,
667,fig|223283.9.peg.5401,PSPTO_5277
rxn00375_c,fig|223283.9.peg.5402,
668,fig|223283.9.peg.5402,PSPTO_5278
rxn10344_c,fig|223283.9.peg.5403,
rxn05516_c,fig|223283.9.peg.5403,
rxn10481_c,fig|223283.9.peg.5403,
rxn05528_c,fig|223283.9.peg.5403,
rxn10343_c,fig|223283.9.peg.5403,
669,fig|223283.9.peg.5403,PSPTO_5279
670,fig|223283.9.peg.5412,PSPTO_5286
671,fig|223283.9.peg.5414,PSPTO_5288
672,fig|223283.9.peg.5420,PSPTO_5294
rxn08796_c,fig|223283.9.peg.5425,
rxn08809_c,fig|223283.9.peg.5425,
rxn08822_c,fig|223283.9.peg.5425,
rxn08808_c,fig|223283.9.peg.5425,
673,fig|223283.9.peg.5425,PSPTO_5299
674,fig|223283.9.peg.5427,PSPTO_5301
675,fig|223283.9.peg.5428,PSPTO_5302
rxn05175_c,fig|223283.9.peg.5429,
rxn05163_c,fig|223283.9.peg.5429,
676,fig|223283.9.peg.5429,PSPTO_5303
677,fig|223283.9.peg.5435,PSPTO_5308
rxn01106_c,fig|223283.9.peg.5454,
678,fig|223283.9.peg.5454,PSPTO_5327
rxn03135_c,fig|223283.9.peg.5461,
679,fig|223283.9.peg.5461,PSPTO_5334
rxn03175_c,fig|223283.9.peg.5462,
680,fig|223283.9.peg.5462,PSPTO_5335
rxn02473_c,fig|223283.9.peg.5465,
681,fig|223283.9.peg.5465,PSPTO_5338
rxn01270_c,fig|223283.9.peg.5466,
682,fig|223283.9.peg.5466,PSPTO_5339
66,fig|223283.9.peg.547,PSPTO_0537
rxn05564_c,fig|223283.9.peg.5483,
683,fig|223283.9.peg.5483,PSPTO_5356
rxn05164_c,fig|223283.9.peg.5484,
684,fig|223283.9.peg.5484,PSPTO_5357
67,fig|223283.9.peg.549,PSPTO_0539
rxn00002_c,fig|223283.9.peg.5506,
685,fig|223283.9.peg.5506,PSPTO_5380
rxn01029_c,fig|223283.9.peg.5519,
686,fig|223283.9.peg.5519,PSPTO_5393
rxn02504_c,fig|223283.9.peg.552,
68,fig|223283.9.peg.552,PSPTO_0542
687,fig|223283.9.peg.5520,PSPTO_5394
688,fig|223283.9.peg.5522,PSPTO_5396
689,fig|223283.9.peg.5523,PSPTO_5397
rxn00137_c,fig|223283.9.peg.5527,
690,fig|223283.9.peg.5527,PSPTO_5401
69,fig|223283.9.peg.553,PSPTO_0543
rxn00095_c,fig|223283.9.peg.559,
70,fig|223283.9.peg.559,PSPTO_0549
rxn01802_c,fig|223283.9.peg.5593,
691,fig|223283.9.peg.5593,PSPTO_5461
692,fig|223283.9.peg.5597,PSPTO_5464
rxn00966_c,fig|223283.9.peg.5609,
693,fig|223283.9.peg.5609,PSPTO_5475
rxn05034_c,fig|223283.9.peg.5610,
rxn03893_c,fig|223283.9.peg.5610,
694,fig|223283.9.peg.5610,PSPTO_5476
rxn00347_c,fig|223283.9.peg.5634,
695,fig|223283.9.peg.5634,PSPTO_5499
