ids,growth,status
frozenset({'PSPTO_5335'}),-3.20E-10,optimal
frozenset({'PSPTO_0092'}),-1.48E-10,optimal
frozenset({'PSPTO_4922'}),-3.25E-11,optimal
frozenset({'PSPTO_4394'}),-1.21E-12,optimal
frozenset({'PSPTO_1749'}),-1.10E-12,optimal
frozenset({'PSPTO_2163'}),-6.84E-13,optimal
frozenset({'PSPTO_5168'}),-4.96E-13,optimal
frozenset({'PSPTO_1081'}),-2.98E-13,optimal
frozenset({'PSPTO_5265'}),-2.23E-13,optimal
frozenset({'PSPTO_1671'}),-1.80E-13,optimal
frozenset({'PSPTO_4438'}),-1.78E-13,optimal
frozenset({'PSPTO_2618'}),-1.70E-13,optimal
frozenset({'PSPTO_4439'}),-1.69E-13,optimal
frozenset({'223283.9.peg.3813'}),-1.24E-13,optimal
frozenset({'PSPTO_0082'}),-1.19E-13,optimal
frozenset({'PSPTO_0690'}),-1.11E-13,optimal
frozenset({'PSPTO_0542'}),-1.08E-13,optimal
frozenset({'PSPTO_0186'}),-1.01E-13,optimal
frozenset({'PSPTO_0158'}),-1.00E-13,optimal
frozenset({'PSPTO_1169'}),-9.95E-14,optimal
frozenset({'PSPTO_3721'}),-9.51E-14,optimal
frozenset({'PSPTO_3950'}),-9.22E-14,optimal
frozenset({'PSPTO_0594'}),-7.98E-14,optimal
frozenset({'PSPTO_0357'}),-7.96E-14,optimal
frozenset({'PSPTO_2100'}),-7.77E-14,optimal
frozenset({'PSPTO_4397'}),-7.49E-14,optimal
frozenset({'PSPTO_1428'}),-7.49E-14,optimal
frozenset({'PSPTO_0691'}),-6.85E-14,optimal
frozenset({'PSPTO_3793'}),-6.85E-14,optimal
frozenset({'PSPTO_2300'}),-6.66E-14,optimal
frozenset({'PSPTO_3517'}),-6.37E-14,optimal
frozenset({'PSPTO_0604'}),-6.29E-14,optimal
frozenset({'PSPTO_5118'}),-6.25E-14,optimal
frozenset({'PSPTO_1480'}),-6.13E-14,optimal
frozenset({'PSPTO_0494'}),-5.89E-14,optimal
frozenset({'PSPTO_3829'}),-5.46E-14,optimal
frozenset({'PSPTO_5595'}),-4.97E-14,optimal
frozenset({'PSPTO_1547'}),-4.62E-14,optimal
frozenset({'PSPTO_3022'}),-4.49E-14,optimal
frozenset({'PSPTO_0809'}),-3.58E-14,optimal
frozenset({'PSPTO_4572'}),-3.43E-14,optimal
frozenset({'PSPTO_1080'}),-2.41E-14,optimal
frozenset({'PSPTO_1553'}),-2.13E-14,optimal
frozenset({'PSPTO_0598'}),-1.70E-14,optimal
frozenset({'PSPTO_2737'}),-1.49E-14,optimal
