ids,growth,group
frozenset({'PSPTO_5335'}),-3.20E-10,3
frozenset({'PSPTO_0092'}),-1.48E-10,3
frozenset({'PSPTO_4922'}),-3.25E-11,3
frozenset({'PSPTO_4394'}),-1.21E-12,3
frozenset({'PSPTO_1749'}),-1.10E-12,3
frozenset({'PSPTO_2163'}),-6.84E-13,3
frozenset({'PSPTO_5168'}),-4.96E-13,3
frozenset({'PSPTO_1081'}),-2.98E-13,3
frozenset({'PSPTO_5265'}),-2.23E-13,3
frozenset({'PSPTO_1671'}),-1.80E-13,3
frozenset({'PSPTO_4438'}),-1.78E-13,3
frozenset({'PSPTO_2618'}),-1.70E-13,3
frozenset({'PSPTO_4439'}),-1.69E-13,3
frozenset({'223283.9.peg.3813'}),-1.24E-13,3
frozenset({'PSPTO_0082'}),-1.19E-13,3
frozenset({'PSPTO_0690'}),-1.11E-13,3
frozenset({'PSPTO_0542'}),-1.08E-13,3
frozenset({'PSPTO_0186'}),-1.01E-13,3
frozenset({'PSPTO_0158'}),-1.00E-13,3
frozenset({'PSPTO_1169'}),-9.95E-14,3
frozenset({'PSPTO_3721'}),-9.51E-14,3
frozenset({'PSPTO_3950'}),-9.22E-14,3
frozenset({'PSPTO_0594'}),-7.98E-14,3
frozenset({'PSPTO_0357'}),-7.96E-14,3
frozenset({'PSPTO_2100'}),-7.77E-14,3
frozenset({'PSPTO_4397'}),-7.49E-14,3
frozenset({'PSPTO_1428'}),-7.49E-14,3
frozenset({'PSPTO_0691'}),-6.85E-14,3
frozenset({'PSPTO_3793'}),-6.85E-14,3
frozenset({'PSPTO_2300'}),-6.66E-14,3
frozenset({'PSPTO_3517'}),-6.37E-14,3
frozenset({'PSPTO_0604'}),-6.29E-14,3
frozenset({'PSPTO_5118'}),-6.25E-14,3
frozenset({'PSPTO_1480'}),-6.13E-14,3
frozenset({'PSPTO_0494'}),-5.89E-14,3
frozenset({'PSPTO_3829'}),-5.46E-14,3
frozenset({'PSPTO_5595'}),-4.97E-14,3
frozenset({'PSPTO_1547'}),-4.62E-14,3
frozenset({'PSPTO_3022'}),-4.49E-14,3
frozenset({'PSPTO_0809'}),-3.58E-14,3
frozenset({'PSPTO_4572'}),-3.43E-14,3
frozenset({'PSPTO_1080'}),-2.41E-14,3
frozenset({'PSPTO_1553'}),-2.13E-14,3
frozenset({'PSPTO_0598'}),-1.70E-14,3
frozenset({'PSPTO_2737'}),-1.49E-14,3
frozenset({'PSPTO_3344'}),-1.41E-14,3
frozenset({'PSPTO_0308'}),-1.28E-14,3
frozenset({'PSPTO_2739'}),-9.45E-15,3
frozenset({'PSPTO_3745'}),-6.06E-15,3
frozenset({'PSPTO_5035'}),-3.78E-15,3
frozenset({'PSPTO_1434'}),-2.79E-15,3
frozenset({'PSPTO_3871'}),-1.33E-15,3
frozenset({'PSPTO_4449'}),0,3
frozenset({'PSPTO_5461'}),0,3
frozenset({'PSPTO_1449'}),0,3
frozenset({'PSPTO_1552'}),4.93E-15,3
frozenset({'PSPTO_4495'}),9.92E-15,3
frozenset({'PSPTO_1079'}),9.92E-15,3
frozenset({'PSPTO_0170'}),1.14E-14,3
frozenset({'PSPTO_0961'}),1.15E-14,3
frozenset({'PSPTO_0923'}),1.16E-14,3
frozenset({'PSPTO_5049'}),1.48E-14,3
frozenset({'PSPTO_2282'}),1.49E-14,3
frozenset({'PSPTO_0325'}),1.50E-14,3
frozenset({'PSPTO_5401'}),1.50E-14,3
frozenset({'PSPTO_1077'}),1.56E-14,3
frozenset({'PSPTO_2210'}),1.85E-14,3
frozenset({'PSPTO_5126'}),2.47E-14,3
frozenset({'PSTPO_3833'}),2.64E-14,3
frozenset({'PSPTO_0726'}),2.77E-14,3
frozenset({'PSPTO_3832'}),2.78E-14,3
frozenset({'PSPTO_2055'}),2.87E-14,3
frozenset({'PSPTO_1633'}),2.89E-14,3
frozenset({'223283.9.peg.3927'}),3.64E-14,3
frozenset({'PSPTO_0159'}),3.89E-14,3
frozenset({'PSPTO_5068'}),3.97E-14,3
frozenset({'PSPTO_1542'}),4.00E-14,3
frozenset({'PSPTO_2510'}),4.32E-14,3
frozenset({'PSPTO_0960'}),4.52E-14,3
frozenset({'PSPTO_4955'}),4.73E-14,3
frozenset({'PSPTO_5154'}),4.96E-14,3
frozenset({'PSPTO_1430'}),4.96E-14,3
frozenset({'PSPTO_2732'}),5.06E-14,3
frozenset({'PSPTO_4402'}),5.14E-14,3
frozenset({'PSPTO_1675'}),5.94E-14,3
frozenset({'PSPTO_4978'}),7.33E-14,3
frozenset({'PSPTO_1747'}),8.51E-14,3
frozenset({'PSPTO_0698'}),8.81E-14,3
frozenset({'PSPTO_0699'}),9.15E-14,3
frozenset({'PSPTO_4164'}),9.74E-14,3
frozenset({'PSPTO_5597'}),1.03E-13,3
frozenset({'PSPTO_1661'}),1.14E-13,3
frozenset({'PSPTO_1332'}),1.14E-13,3
frozenset({'PSPTO_2742'}),1.19E-13,3
frozenset({'PSPTO_0310'}),1.20E-13,3
frozenset({'PSPTO_5338'}),1.23E-13,3
frozenset({'PSPTO_4496'}),1.24E-13,3
frozenset({'PSPTO_1540'}),1.28E-13,3
frozenset({'PSPTO_0727'}),1.47E-13,3
frozenset({'PSPTO_5266'}),1.64E-13,3
frozenset({'PSPTO_5127'}),1.79E-13,3
frozenset({'PSPTO_0383'}),1.92E-13,3
frozenset({'PSPTO_4501'}),2.08E-13,3
frozenset({'PSPTO_0693'}),2.11E-13,3
frozenset({'PSPTO_1562'}),2.14E-13,3
frozenset({'PSPTO_3833'}),2.16E-13,3
frozenset({'PSPTO_0593'}),2.57E-13,3
frozenset({'PSPTO_1536'}),3.39E-13,3
frozenset({'PSPTO_4866'}),3.66E-12,3
frozenset({'PSPTO_1459'}),5.62E-12,3
frozenset({'PSPTO_2595'}),7.94E-12,3
frozenset({'PSPTO_2043'}),8.20E-12,3
frozenset({'PSPTO_1699'}),1.14E-11,3
frozenset({'PSPTO_3814'}),1.46E-11,3
frozenset({'PSPTO_4859'}),1.74E-11,3
frozenset({'PSPTO_4828'}),4.96E-11,3
frozenset({'PSPTO_0085'}),8.89E-11,3
frozenset({'PSPTO_0417'}),1.25E-10,3
