rxn01013_c,((PSPTO_2434 or PSPTO_1215) or (PSPTO_1215 or PSPTO_2434)),
rxn01014_c,(PSPTO_2866 or PSPTO_4478 or PSPTO_2865 or PSPTO_2342),
rxn01025_c,PSPTO_1602,
rxn01066_c,(PSPTO_1052 or PSPTO_1345 or PSPTO_2470),
rxn01069_c,PSPTO_1481,
rxn01073_c,((PSPTO_2107 or PSPTO_0660) or PSPTO_3461),
rxn01107_c,(PSPTO_2470 or PSPTO_1052 or PSPTO_1345),
rxn01108_c,(PSPTO_2492 or PSPTO_2492),
rxn01109_c,(PSPTO_2492 or PSPTO_2492),
rxn01111_c,PSPTO_3143,
rxn01124_c,(PSPTO_1056 or PSPTO_1056),
rxn01135_c,PSPTO_1711,
rxn01137_c,PSPTO_0757,
rxn01146_c,PSPTO_0949,
rxn01148_c,PSPTO_2177,
rxn01157_c,(PSPTO_1335 or PSPTO_1747),
rxn01171_c,(PSPTO_1298 or PSPTO_1047),
rxn01188_c,PSPTO_2944,
rxn01208_c,PSPTO_2175,
rxn01210_c,(PSPTO_3814 and PSPTO_3814),
rxn01216_c,PSPTO_0083,
rxn01225_c,((PSPTO_0765 or PSPTO_3663) or PSPTO_0757),
rxn01226_c,PSPTO_2373,
rxn01243_c,PSPTO_2510,
rxn01273_c,PSPTO_2680,
rxn01274_c,PSPTO_3714,
rxn01286_c,(PSPTO_0418 or PSPTO_0728 or PSPTO_1881 or PSPTO_2673 or PSPTO_3064 or PSPTO_0092),
rxn01292_c,(PSPTO_1232 or PSPTO_4913 or PSPTO_3530 or PSPTO_1230),
rxn01300_c,(PSPTO_2281 or PSPTO_0346),
rxn01301_c,(PSPTO_1480 or PSPTO_1480),
rxn01308_c,PSPTO_1670,
rxn01315_c,PSPTO_1822,
rxn01334_c,PSPTO_0390,
rxn01345_c,PSPTO_0186,
rxn01368_c,(PSPTO_3733 or PSPTO_2453),
rxn01404_c,PSPTO_5117,
rxn01416_c,PSPTO_0548,
rxn01429_c,PSPTO_3991,
rxn01459_c,(PSPTO_3064 or PSPTO_0092 or PSPTO_1881 or PSPTO_0728 or PSPTO_0418 or PSPTO_2673),
rxn01461_c,PSPTO_2119,
rxn01462_c,PSPTO_1602,
