0,"['{\'ids\': ""frozenset({\'PSPTO_2047\'})""', "" 'growth': 77.38197497877135"", "" 'status': 'optimal'}""]"
1,"['{\'ids\': ""frozenset({\'PSPTO_4921\'})""', "" 'growth': 77.38197497877135"", "" 'status': 'optimal'}""]"
2,"['{\'ids\': ""frozenset({\'PSPTO_4880\'})""', "" 'growth': 1.179806390303612e-13"", "" 'status': 'optimal'}""]"
3,"['{\'ids\': ""frozenset({\'223283.9.peg.1842\'})""', "" 'growth': -2.014465123568501e-13"", "" 'status': 'optimal'}""]"
4,"['{\'ids\': ""frozenset({\'PSPTO_3126\'})""', "" 'growth': 77.38197497877141"", "" 'status': 'optimal'}""]"
5,"['{\'ids\': ""frozenset({\'PSPTO_3881\'})""', "" 'growth': 77.38054777013168"", "" 'status': 'optimal'}""]"
6,"['{\'ids\': ""frozenset({\'PSPTO_1695\'})""', "" 'growth': -5.16543679087026e-12"", "" 'status': 'optimal'}""]"
7,"['{\'ids\': ""frozenset({\'PSPTO_2421\'})""', "" 'growth': 77.38197497877194"", "" 'status': 'optimal'}""]"
8,"['{\'ids\': ""frozenset({\'PSPTO_0726\'})""', "" 'growth': 6.37859499251385e-14"", "" 'status': 'optimal'}""]"
9,"['{\'ids\': ""frozenset({\'PSPTO_5465\'})""', "" 'growth': 69.33580230772557"", "" 'status': 'optimal'}""]"
10,"['{\'ids\': ""frozenset({\'PSPTO_2760\'})""', "" 'growth': 77.38197497877057"", "" 'status': 'optimal'}""]"
11,"['{\'ids\': ""frozenset({\'223283.9.peg.2197\'})""', "" 'growth': -1.102535413982001e-13"", "" 'status': 'optimal'}""]"
12,"['{\'ids\': ""frozenset({\'PSPTO_0186\'})""', "" 'growth': -2.613417277586964e-13"", "" 'status': 'optimal'}""]"
13,"['{\'ids\': ""frozenset({\'PSPTO_0957\'})""', "" 'growth': 77.38197497877127"", "" 'status': 'optimal'}""]"
14,"['{\'ids\': ""frozenset({\'PSPTO_2411\'})""', "" 'growth': 77.38197497877127"", "" 'status': 'optimal'}""]"
15,"['{\'ids\': ""frozenset({\'PSPTO_2618\'})""', "" 'growth': 77.38197497877127"", "" 'status': 'optimal'}""]"
16,"['{\'ids\': ""frozenset({\'PSPTO_5401\'})""', "" 'growth': -3.481732306870757e-14"", "" 'status': 'optimal'}""]"
17,"['{\'ids\': ""frozenset({\'PSPTO_0083\'})""', "" 'growth': 77.38197497877191"", "" 'status': 'optimal'}""]"
18,"['{\'ids\': ""frozenset({\'PSPTO_5394\'})""', "" 'growth': 77.38197497877191"", "" 'status': 'optimal'}""]"
19,"['{\'ids\': ""frozenset({\'PSPTO_5604\'})""', "" 'growth': 59.52459613751758"", "" 'status': 'optimal'}""]"
20,"['{\'ids\': ""frozenset({\'PSPTO_5051\'})""', "" 'growth': 77.38197497877185"", "" 'status': 'optimal'}""]"
21,"['{\'ids\': ""frozenset({\'PSPTO_1670\'})""', "" 'growth': 77.38197497877185"", "" 'status': 'optimal'}""]"
22,"['{\'ids\': ""frozenset({\'PSPTO_4919\'})""', "" 'growth': 77.38197497877185"", "" 'status': 'optimal'}""]"
23,"['{\'ids\': ""frozenset({\'PSPTO_0696\'})""', "" 'growth': 77.38197497877185"", "" 'status': 'optimal'}""]"
24,"['{\'ids\': ""frozenset({\'PSPTO_5308\'})""', "" 'growth': 77.38197497877185"", "" 'status': 'optimal'}""]"
25,"['{\'ids\': ""frozenset({\'PSPTO_1717\'})""', "" 'growth': -1.032344317772305e-13"", "" 'status': 'optimal'}""]"
26,"['{\'ids\': ""frozenset({\'PSPTO_5266\'})""', "" 'growth': -1.449681208809464e-13"", "" 'status': 'optimal'}""]"
27,"['{\'ids\': ""frozenset({\'PSPTO_2806\'})""', "" 'growth': 77.3819749787713"", "" 'status': 'optimal'}""]"
28,"['{\'ids\': ""frozenset({\'223283.9.peg.547\'})""', "" 'growth': 1.604545225343407e-13"", "" 'status': 'optimal'}""]"
29,"['{\'ids\': ""frozenset({\'PSPTO_2913\'})""', "" 'growth': 77.38197497877117"", "" 'status': 'optimal'}""]"
30,"['{\'ids\': ""frozenset({\'PSPTO_1332\'})""', "" 'growth': 77.37115132831124"", "" 'status': 'optimal'}""]"
31,"['{\'ids\': ""frozenset({\'PSPTO_5499\'})""', "" 'growth': 77.38197497877174"", "" 'status': 'optimal'}""]"
32,"['{\'ids\': ""frozenset({\'PSPTO_5231\'})""', "" 'growth': 77.38197497877174"", "" 'status': 'optimal'}""]"
33,"['{\'ids\': ""frozenset({\'PSPTO_4406\'})""', "" 'growth': 77.38197497877174"", "" 'status': 'optimal'}""]"
34,"['{\'ids\': ""frozenset({\'PSPTO_0955\'})""', "" 'growth': 77.38197497877206"", "" 'status': 'optimal'}""]"
35,"['{\'ids\': ""frozenset({\'223283.9.peg.811\'})""', "" 'growth': -4.507717936643974e-14"", "" 'status': 'optimal'}""]"
36,"['{\'ids\': ""frozenset({\'PSPTO_0125\'})""', "" 'growth': 77.3819749787718"", "" 'status': 'optimal'}""]"
37,"['{\'ids\': ""frozenset({\'PSPTO_5335\'})""', "" 'growth': 77.3819749787718"", "" 'status': 'optimal'}""]"
38,"['{\'ids\': ""frozenset({\'PSPTO_5521\'})""', "" 'growth': -7.412986100859831e-14"", "" 'status': 'optimal'}""]"
39,"['{\'ids\': ""frozenset({\'PSPTO_2046\'})""', "" 'growth': 77.38197497877174"", "" 'status': 'optimal'}""]"
40,"['{\'ids\': ""frozenset({\'PSPTO_0549\'})""', "" 'growth': 77.38197497877174"", "" 'status': 'optimal'}""]"
41,"['{\'ids\': ""frozenset({\'PSPTO_5393\'})""', "" 'growth': 77.38197497877174"", "" 'status': 'optimal'}""]"
42,"['{\'ids\': ""frozenset({\'PSPTO_4951\'})""', "" 'growth': -2.874423181966056e-14"", "" 'status': 'optimal'}""]"
43,"['{\'ids\': ""frozenset({\'PSPTO_2628\'})""', "" 'growth': -2.874423181966056e-14"", "" 'status': 'optimal'}""]"
44,"['{\'ids\': ""frozenset({\'PSPTO_5511\'})""', "" 'growth': 77.3819749787717"", "" 'status': 'optimal'}""]"
45,"['{\'ids\': ""frozenset({\'PSPTO_5150\'})""', "" 'growth': 1.530730868303056e-13"", "" 'status': 'optimal'}""]"
46,"['{\'ids\': ""frozenset({\'PSPTO_4878\'})""', "" 'growth': 4.26454494069677e-14"", "" 'status': 'optimal'}""]"
47,"['{\'ids\': ""frozenset({\'PSPTO_3793\'})""', "" 'growth': 3.088918296230008e-14"", "" 'status': 'optimal'}""]"
48,"['{\'ids\': ""frozenset({\'PSPTO_5603\'})""', "" 'growth': 59.52459613751646"", "" 'status': 'optimal'}""]"
49,"['{\'ids\': ""frozenset({\'PSPTO_0592\'})""', "" 'growth': 77.38197497877178"", "" 'status': 'optimal'}""]"
50,"['{\'ids\': ""frozenset({\'PSPTO_4799\'})""', "" 'growth': 5.459974758990843e-14"", "" 'status': 'optimal'}""]"
51,"['{\'ids\': ""frozenset({\'PSPTO_1444\'})""', "" 'growth': 77.3819749787714"", "" 'status': 'optimal'}""]"
52,"['{\'ids\': ""frozenset({\'PSPTO_0511\'})""', "" 'growth': 77.25262084983628"", "" 'status': 'optimal'}""]"
53,"['{\'ids\': ""frozenset({\'PSPTO_2470\'})""', "" 'growth': 77.38197497877134"", "" 'status': 'optimal'}""]"
54,"['{\'ids\': ""frozenset({\'PSPTO_3668\'})""', "" 'growth': 77.38197497877134"", "" 'status': 'optimal'}""]"
55,"['{\'ids\': ""frozenset({\'PSPTO_1756\'})""', "" 'growth': 77.38197497877134"", "" 'status': 'optimal'}""]"
56,"['{\'ids\': ""frozenset({\'PSPTO_4312\'})""', "" 'growth': 77.38197497877134"", "" 'status': 'optimal'}""]"
57,"['{\'ids\': ""frozenset({\'PSPTO_3752\'})""', "" 'growth': 77.38197497877134"", "" 'status': 'optimal'}""]"
58,"['{\'ids\': ""frozenset({\'223283.9.peg.644\'})""', "" 'growth': 7.901002858334902e-14"", "" 'status': 'optimal'}""]"
59,"['{\'ids\': ""frozenset({\'PSPTO_2371\'})""', "" 'growth': 77.3819749787722"", "" 'status': 'optimal'}""]"
60,"['{\'ids\': ""frozenset({\'PSPTO_3047\'})""', "" 'growth': 77.38197497877196"", "" 'status': 'optimal'}""]"
61,"['{\'ids\': ""frozenset({\'PSPTO_1450\'})""', "" 'growth': 3.224544005836391e-13"", "" 'status': 'optimal'}""]"
62,"['{\'ids\': ""frozenset({\'PSPTO_0772\'})""', "" 'growth': 77.3819749787722"", "" 'status': 'optimal'}""]"
63,"['{\'ids\': ""frozenset({\'PSPTO_1861\'})""', "" 'growth': 77.3819749787722"", "" 'status': 'optimal'}""]"
64,"['{\'ids\': ""frozenset({\'PSPTO_1836\'})""', "" 'growth': 77.3819749787722"", "" 'status': 'optimal'}""]"
65,"['{\'ids\': ""frozenset({\'PSPTO_3860\'})""', "" 'growth': 77.3819749787722"", "" 'status': 'optimal'}""]"
66,"['{\'ids\': ""frozenset({\'PSPTO_5476\'})""', "" 'growth': 77.3819749787722"", "" 'status': 'optimal'}""]"
67,"['{\'ids\': ""frozenset({\'PSPTO_1993\'})""', "" 'growth': 77.3819749787722"", "" 'status': 'optimal'}""]"
68,"['{\'ids\': ""frozenset({\'PSPTO_0693\'})""', "" 'growth': 4.714528569973441e-15"", "" 'status': 'optimal'}""]"
69,"['{\'ids\': ""frozenset({\'PSPTO_4908\'})""', "" 'growth': 77.38197497877164"", "" 'status': 'optimal'}""]"
70,"['{\'ids\': ""frozenset({\'PSPTO_3809\'})""', "" 'growth': 77.3819749787717"", "" 'status': 'optimal'}""]"
71,"['{\'ids\': ""frozenset({\'PSPTO_2818\'})""', "" 'growth': 77.3819749787717"", "" 'status': 'optimal'}""]"
72,"['{\'ids\': ""frozenset({\'PSPTO_4433\'})""', "" 'growth': 77.3819749787717"", "" 'status': 'optimal'}""]"
73,"['{\'ids\': ""frozenset({\'223283.9.peg.642\'})""', "" 'growth': -2.916491217379658e-13"", "" 'status': 'optimal'}""]"
74,"['{\'ids\': ""frozenset({\'PSPTO_4170\'})""', "" 'growth': 77.38197497877269"", "" 'status': 'optimal'}""]"
75,"['{\'ids\': ""frozenset({\'PSPTO_0300\'})""', "" 'growth': 77.38197497877246"", "" 'status': 'optimal'}""]"
76,"['{\'ids\': ""frozenset({\'PSPTO_0691\'})""', "" 'growth': 9.382128261242882e-13"", "" 'status': 'optimal'}""]"
77,"['{\'ids\': ""frozenset({\'223283.9.peg.1494\'})""', "" 'growth': -6.340078202995609e-13"", "" 'status': 'optimal'}""]"
78,"['{\'ids\': ""frozenset({\'PSPTO_0787\'})""', "" 'growth': 77.37409314126832"", "" 'status': 'optimal'}""]"
79,"['{\'ids\': ""frozenset({\'PSPTO_3376\'})""', "" 'growth': 77.38197497876679"", "" 'status': 'optimal'}""]"
80,"['{\'ids\': ""frozenset({\'223283.9.peg.1560\'})""', "" 'growth': -1.266107296149017e-14"", "" 'status': 'optimal'}""]"
81,"['{\'ids\': ""frozenset({\'PSPTO_5357\'})""', "" 'growth': 77.38197497877182"", "" 'status': 'optimal'}""]"
82,"['{\'ids\': ""frozenset({\'PSPTO_4502\'})""', "" 'growth': 77.19552952621001"", "" 'status': 'optimal'}""]"
83,"['{\'ids\': ""frozenset({\'PSPTO_2453\'})""', "" 'growth': 77.38197497877182"", "" 'status': 'optimal'}""]"
84,"['{\'ids\': ""frozenset({\'PSPTO_5261\'})""', "" 'growth': 77.38197497877182"", "" 'status': 'optimal'}""]"
85,"['{\'ids\': ""frozenset({\'PSPTO_4572\'})""', "" 'growth': 77.38197497877182"", "" 'status': 'optimal'}""]"
86,"['{\'ids\': ""frozenset({\'PSPTO_5189\'})""', "" 'growth': 77.38197497877182"", "" 'status': 'optimal'}""]"
87,"['{\'ids\': ""frozenset({\'PSPTO_4496\'})""', "" 'growth': 2.838173426605338e-13"", "" 'status': 'optimal'}""]"
88,"['{\'ids\': ""frozenset({\'PSPTO_1455\'})""', "" 'growth': 77.38197497877165"", "" 'status': 'optimal'}""]"
89,"['{\'ids\': ""frozenset({\'PSPTO_5016\'})""', "" 'growth': 65.47909536384759"", "" 'status': 'optimal'}""]"
90,"['{\'ids\': ""frozenset({\'PSPTO_1335\'})""', "" 'growth': 77.3819749787716"", "" 'status': 'optimal'}""]"
